decision support system,0.9370088038
multi agent system,0.9339618890
wireless network,0.9054243980
adaptive control,0.9052453713
model predictive control,0.8979341676
mixture model,0.8968339301
sensitivity analysis,0.8928732414
software engineer,0.8914606587
markov model,0.8895101417
knowledge management,0.8882314170
model check,0.8879993006
discriminant analysis,0.8874580368
regression model,0.8869862699
mobile ad hoc network,0.8868144454
knowledge acquisition,0.8866047513
optimal control,0.8864850312
medical image,0.8859418813
parallel algorithm,0.8855712464
business process,0.8846742537
fuzzy set,0.8842857916
recurrent neural network,0.8833291253
image segmentation,0.8829865734
information technology,0.8827566730
linear program,0.8819185470
difference scheme,0.8812191532
diffusion equation,0.8811347515
linear quadratic,0.8811098563
numerical simulation,0.8808809901
planar graph,0.8806544093
artificial neural network,0.8804834212
big data,0.8800346947
social network,0.8796313409
data mining,0.8780596087
approximation algorithm,0.8779066660
wave equation,0.8776939770
bayesian network,0.8774552027
partial differential equation,0.8769796638
information science,0.8756652819
volume scheme,0.8741698870
software development,0.8735945892
principal component analysis,0.8733095279
variable selection,0.8729713047
product development,0.8724443671
fuzzy logic,0.8719832554
regular graph,0.8718535218
knowledge base,0.8711156196
linear model,0.8702869545
decision tree,0.8694800829
mobile phone,0.8691372451
integral equation,0.8689802182
data stream,0.8675044127
robust control,0.8673251403
class nonlinear,0.8671290278
neural network,0.8670954234
fluid flow,0.8667837581
web service,0.8657847942
incompressible flow,0.8645129930
ramsey number,0.8644593625
logistic regression,0.8642875324
access control,0.8641742849
data warehouse,0.8639086535
ubiquitous computing,0.8638019185
mobile robot,0.8628954336
state space,0.8627649131
knowledge representation,0.8623329353
density estimation,0.8623125412
cloud computing,0.8621057170
data model,0.8611295105
finite difference,0.8602813279
wireless mesh network,0.8602233365
particle swarm optimization,0.8600857518
wireless sensor network,0.8594136344
phase flow,0.8593794233
boundary condition,0.8584780407
information retrieval,0.8575992100
large eddy simulation,0.8575738381
speech recognition,0.8572085133
model predictive,0.8568567749
mobile device,0.8561907523
fault detection,0.8549148748
high performance computing,0.8539974537
feature selection,0.8529600649
relational database,0.8528365588
finite volume scheme,0.8521954998
formal verification,0.8521169482
robust stability,0.8517344164
model selection,0.8507772789
user interface,0.8498989782
bipartite graph,0.8498010360
hidden markov model,0.8494859674
bayesian inference,0.8492573004
language model,0.8482567334
low cost,0.8482468145
maximum likelihood estimation,0.8479395235
service orient,0.8478319280
control nonlinear,0.8476880668
rough set,0.8476306301
finite difference scheme,0.8475757001
reliability analysis,0.8474782388
complex network,0.8465788628
basis function,0.8465163158
multi objective optimization,0.8461736421
mathematical model,0.8458997670
face recognition,0.8458237485
natural language,0.8447006315
virtual reality,0.8445133102
world wide web,0.8436757544
multiple attribute decision,0.8435401124
motion estimation,0.8435229307
wave propagation,0.8433006980
cellular network,0.8430407662
virtual machine,0.8426341005
genetic algorithm,0.8424762829
computational model,0.8422954982
wavelet transform,0.8416325737
smart grid,0.8412968809
factor affect,0.8412277063
optimal control problem,0.8408768680
higher order,0.8407065184
dual band,0.8405385472
